year,commodity,guilders
1682,ryebread,7.46
1683,ryebread,7.8
1684,ryebread,8.55
1685,ryebread,9.05
1686,ryebread,8.13
1687,ryebread,6.79
1688,ryebread,7.46
1689,ryebread,7.96
1690,ryebread,8.22
1691,ryebread,8.55
1692,ryebread,9.05
1693,ryebread,11.57
1694,ryebread,11.15
1695,ryebread,10.06
1696,ryebread,9.81
1697,ryebread,11.32
1698,ryebread,13.33
1699,ryebread,15.59
1700,ryebread,11.07
1701,ryebread,9.56
1702,ryebread,8.3
1703,ryebread,8.47
1704,ryebread,8.89
1705,ryebread,8.22
1706,ryebread,8.22
1707,ryebread,7.96
1708,ryebread,8.55
1709,ryebread,12.74
1710,ryebread,12.57
1711,ryebread,10.23
1712,ryebread,9.05
1713,ryebread,9.39
1714,ryebread,10.31
1715,ryebread,9.98
1716,ryebread,9.22
1717,ryebread,8.89
1718,ryebread,9.14
1719,ryebread,8.8
1720,ryebread,8.97
1721,ryebread,8.3
1722,ryebread,7.96
1723,ryebread,8.05
1724,ryebread,7.96
1725,ryebread,9.39
1726,ryebread,9.22
1727,ryebread,9.22
1728,ryebread,9.22
1729,ryebread,8.63
1730,ryebread,7.71
1731,ryebread,7.8
1732,ryebread,7.71
1733,ryebread,7.71
1734,ryebread,8.38
1735,ryebread,8.38
1736,ryebread,8.05
1737,ryebread,8.38
1738,ryebread,8.38
1739,ryebread,8.47
1740,ryebread,10.73
1741,ryebread,11.23
1742,ryebread,9.22
1743,ryebread,8.13
1744,ryebread,7.88
1745,ryebread,8.22
1746,ryebread,9.64
1747,ryebread,9.89
1748,ryebread,8.55
1749,ryebread,6.87
1750,ryebread,7.96
1751,ryebread,7.38
1752,ryebread,7.96
1753,ryebread,7.71
1754,ryebread,7.54
1755,ryebread,7.96
1756,ryebread,9.31
1757,ryebread,11.9
1758,ryebread,10.48
1759,ryebread,8.63
1760,ryebread,7.8
1761,ryebread,8.22
1762,ryebread,9.14
1763,ryebread,8.8
1764,ryebread,8.55
1765,ryebread,7.21
1766,ryebread,9.14
1767,ryebread,8.97
1768,ryebread,8.97
1769,ryebread,9.39
1770,ryebread,9.31
1771,ryebread,12.24
1772,ryebread,13.5
1773,ryebread,11.07
1774,ryebread,9.47
1775,ryebread,10.31
1776,ryebread,10.06
1777,ryebread,8.89
1778,ryebread,8.97
1779,ryebread,8.47
1780,ryebread,8.63
1781,ryebread,10.31
1782,ryebread,10.48
1783,ryebread,9.98
1784,ryebread,9.72
1785,ryebread,9.89
1786,ryebread,9.72
1787,ryebread,10.31
1788,ryebread,11.07
1789,ryebread,11.15
1790,ryebread,11.23
1791,ryebread,9.89
1792,ryebread,10.14
1793,ryebread,11.65
1794,ryebread,12.41
1795,ryebread,17.52
1796,ryebread,14.84
1797,ryebread,10.31
1798,ryebread,10.39
1799,ryebread,13.83
1800,ryebread,17.35
1450,beer,0.8
1451,beer,0.8
1452,beer,0.8
1453,beer,0.8
1454,beer,0.8
1455,beer,0.8
1456,beer,0.8
1457,beer,0.85
1458,beer,0.9
1459,beer,0.97
1460,beer,0.93
1461,beer,0.87
1462,beer,0.8
1463,beer,0.8
1464,beer,0.87
1465,beer,0.97
1466,beer,0.9
1467,beer,0.9
1468,beer,0.87
1469,beer,0.87
1470,beer,0.98
1471,beer,0.8
1472,beer,0.81
1473,beer,0.82
1474,beer,0.83
1475,beer,0.98
1476,beer,0.87
1477,beer,0.8
1478,beer,0.84
1479,beer,0.9
1480,beer,0.9
1481,beer,1.08
1482,beer,1.2
1483,beer,1.2
1484,beer,1.2
1485,beer,1
1486,beer,1.2
1487,beer,1.44
1488,beer,1.7
1489,beer,2.2
1490,beer,1.42
1491,beer,1.43
1492,beer,1.57
1493,beer,1.7
1494,beer,1.51
1495,beer,1.4
1496,beer,1.27
1497,beer,1.28
1498,beer,1.28
1499,beer,0.9
1500,beer,1.19
1501,beer,1.27
1502,beer,1.18
1503,beer,1.21
1504,beer,1.23
1505,beer,1.23
1506,beer,1.23
1507,beer,1.19
1508,beer,1.3
1509,beer,1.28
1510,beer,1.28
1511,beer,1.28
1512,beer,1.28
1513,beer,1.49
1514,beer,1.48
1515,beer,0.75
1516,beer,1.42
1517,beer,1.33
1518,beer,1.23
1519,beer,1.17
1520,beer,1.13
1521,beer,1.34
1522,beer,1.7
1523,beer,1.49
1524,beer,1.19
1525,beer,1.33
1526,beer,1.28
1527,beer,1.7
1528,beer,1.87
1529,beer,0.99
1530,beer,1.49
1531,beer,1.11
1532,beer,0.88
1533,beer,1
1534,beer,1.15
1535,beer,2.3
1536,beer,1.18
1537,beer,1.12
1538,beer,1.19
1539,beer,1.05
1540,beer,1
1541,beer,1.29
1542,beer,1.22
1543,beer,0.88
1544,beer,2.14
1545,beer,1.8
1546,beer,1.7
1547,beer,1.2
1548,beer,1.19
1549,beer,1.12
1550,beer,1.39
1551,beer,1.7
1552,beer,1.67
1553,beer,1.03
1554,beer,1.73
1555,beer,1
1556,beer,1.4
1557,beer,2.14
1558,beer,1.97
1559,beer,1.87
1560,beer,1.97
1561,beer,1.7
1562,beer,1.9
1563,beer,1.9
1564,beer,1.9
1565,beer,1.97
1566,beer,1.87
1567,beer,1.85
1568,beer,1.84
1569,beer,2.4
1570,beer,1.87
1571,beer,2.01
1572,beer,2.38
1573,beer,4.25
1574,beer,4.25
1575,beer,3.84
1576,beer,4.25
1577,beer,4.25
1578,beer,4.42
1579,beer,5
1580,beer,5
1581,beer,5
1582,beer,5
1583,beer,5
1584,beer,5
1585,beer,5
1586,beer,5
1587,beer,5
1588,beer,5
1589,beer,5
1590,beer,5
1591,beer,5
1592,beer,5
1593,beer,5
1594,beer,5
1595,beer,5
1596,beer,5
1597,beer,5
1598,beer,5
1599,beer,5
1600,beer,5
1601,beer,5
1602,beer,5
1603,beer,5
1604,beer,5
1605,beer,5
1606,beer,4.75
1607,beer,4.75
1608,beer,4.75
1609,beer,4.75
1610,beer,4.75
1611,beer,4.75
1612,beer,4.75
1613,beer,4.75
1614,beer,4.75
1615,beer,4.75
1616,beer,4.75
1617,beer,4.75
1618,beer,4.75
1619,beer,4.75
1620,beer,4.48
1621,beer,4.75
1622,beer,4.68
1623,beer,6
1624,beer,4.75
1625,beer,4.82
1626,beer,8.16
1627,beer,6.08
1628,beer,6.58
1629,beer,6.52
1630,beer,6.2
1631,beer,6.4
1632,beer,8
1633,beer,7.5
1634,beer,7.5
1635,beer,6.96
1636,beer,7.16
1637,beer,6.66
1638,beer,6.16
1639,beer,7.16
1640,beer,7.16
1641,beer,6.64
1642,beer,6.48
1643,beer,6.78
1644,beer,6.42
1645,beer,6.46
1646,beer,6.46
1647,beer,7.68
1648,beer,6.9
1649,beer,6.79
1650,beer,11.5
1651,beer,6.81
1652,beer,7.45
1653,beer,7.08
